#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
HG01628	977041	1.00000	1724216	0.99948	0.00095	0.00030	1.76473	0.01341
NA18605	1121179	1.00000	1658822	0.99950	0.00105	0.00033	1.47953	0.01290
HG01602	982656	1.00000	1730342	0.99949	0.00098	0.00031	1.76088	0.01524
HG01136	986458	1.00000	1869556	0.99954	0.00094	0.00030	1.89522	0.01125
NA19684	953573	1.00000	1854259	0.99955	0.00098	0.00030	1.94454	0.01237
NA20827	1008987	1.00000	1800363	0.99951	0.00123	0.00038	1.78433	0.01071
HG02272	1210786	1.00000	1445645	0.99943	0.00120	0.00042	1.19397	0.01241
HG03767	980612	1.00000	1746453	0.99933	0.00378	0.00142	1.78098	0.01371
HG00683	1105899	1.00000	1645674	0.99952	0.00136	0.00042	1.48809	0.01308
HG00692	1114727	1.00000	1666181	0.99946	0.00137	0.00047	1.49470	0.01309
HG02974	1030629	1.00000	1662399	0.99952	0.00110	0.00037	1.61299	0.01322
HG03711	1028616	1.00000	1725859	0.99946	0.00095	0.00030	1.67785	0.01419
NA18489	1092362	1.00000	1734211	0.99963	0.00124	0.00043	1.58758	0.00814
HG02715	1058300	1.00000	1733289	0.99947	0.00128	0.00044	1.63780	0.01221
HG03652	1015711	1.00000	1836750	0.99949	0.00163	0.00056	1.80834	0.01135
NA20278	854522	1.00000	2015494	0.99957	0.00102	0.00031	2.35862	0.01248
HG04153	1023476	1.00000	1862133	0.99950	0.00258	0.00092	1.81942	0.00999
NA19116	1050558	1.00000	1704276	0.99945	0.00113	0.00039	1.62226	0.01262
HG01801	1128670	1.00000	1645409	0.99950	0.00096	0.00031	1.45783	0.01346
HG02614	1021324	1.00000	1688718	0.99951	0.00176	0.00066	1.65346	0.01294
HG00336	987727	1.00000	1771087	0.99954	0.00103	0.00032	1.79309	0.01202
NA11930	952505	1.00000	1740447	0.99952	0.00104	0.00032	1.82723	0.01362
HG01679	1019586	1.00000	1656442	0.99947	0.00086	0.00027	1.62462	0.01316
HG02309	1001789	1.00000	1730866	0.99952	0.00078	0.00026	1.72778	0.01330
HG00330	990225	1.00000	1761032	0.99950	0.00092	0.00029	1.77842	0.01259
NA19376	1039972	1.00000	1736247	0.99952	0.00084	0.00027	1.66951	0.01244
NA19060	1137102	1.00000	1658889	0.99949	0.00098	0.00032	1.45887	0.01275
