#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
GTEX-ZVT2	963333	1.0000	1891762	1.0000	0.0030	0.0007	1.9638	0.0084
GTEX-ZUA1	993137	1.0000	1971015	1.0000	0.0032	-nan	1.9846	0.0069
GTEX-P4PP	1061701	1.0000	2079675	1.0000	0.0026	0.0006	1.9588	0.0065
GTEX-15SZO	896370	1.0000	1719455	1.0000	0.0113	0.0039	1.9182	0.0093
GTEX-11OF3	1092988	1.0000	2149183	1.0000	0.0042	0.0010	1.9663	0.0047
GTEX-YJ8O	1052658	1.0000	2058089	1.0000	0.0054	0.0013	1.9551	0.0063
GTEX-Z93T	1177895	1.0000	2848710	1.0000	0.0035	-nan	2.4185	0.0051
GTEX-1CB4H	1056926	1.0000	2053306	1.0000	0.0047	-nan	1.9427	0.0060
GTEX-14BIN	949095	1.0000	1927442	1.0000	0.0035	0.0009	2.0308	0.0058
GTEX-16NGA	798126	1.0000	2015533	1.0000	0.0040	0.0010	2.5253	0.0113
GTEX-131XH	1243567	1.0000	2870241	1.0000	0.0036	-nan	2.3081	0.0030
GTEX-13N11	1086194	1.0000	2669582	1.0000	0.0023	-nan	2.4577	0.0077
GTEX-ZXES	1032530	1.0000	2048943	1.0000	0.0032	0.0007	1.9844	0.0058
GTEX-111FC	973396	1.0000	2028853	1.0000	0.0034	-nan	2.0843	0.0078
GTEX-1NSGN	1149403	1.0000	2820777	1.0000	0.0031	0.0009	2.4541	0.0066
GTEX-1MGNQ	1084048	1.0000	2213821	1.0000	0.0037	0.0009	2.0422	0.0053
GTEX-117YX	1103405	1.0000	1794261	1.0000	0.0029	-nan	1.6261	0.0104
GTEX-1314G	1041808	1.0000	2041949	1.0000	0.0039	-nan	1.9600	0.0065
GTEX-1117F	960303	1.0000	2424863	1.0000	0.0028	0.0007	2.5251	0.0106
GTEX-1S5ZU	1064714	1.0000	2054300	1.0000	0.0053	0.0013	1.9294	0.0065
GTEX-QMRM	1063169	1.0000	2090549	1.0000	0.0044	0.0010	1.9663	0.0073
GTEX-1MA7X	1086913	1.0000	2154587	1.0000	0.0037	-nan	1.9823	0.0061
GTEX-ZF3C	959280	1.0000	1874409	1.0000	0.0039	0.0009	1.9540	0.0076
GTEX-ZF28	1004735	1.0000	2003558	1.0000	0.0039	0.0009	1.9941	0.0075
GTEX-XOT4	1147565	1.0000	2030005	1.0000	0.0040	-nan	1.7690	0.0068
