#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
HG02522	1021638	1.00000	1490134	0.99944	0.00086	0.00028	0.59326	0.01367
HG01799	1012402	1.00000	1471591	0.99948	0.00095	0.00030	0.59243	0.01401
HG04107	957074	1.00000	1610606	0.99951	0.00176	0.00060	0.62726	0.01323
HG04219	934577	1.00000	1687932	0.99955	0.00159	0.00053	0.64363	0.01157
HG03446	970596	1.00000	1551309	0.99948	0.00203	0.00076	0.61513	0.01321
HG03989	961398	1.00000	1662600	0.99948	0.00245	0.00087	0.63361	0.01093
NA18962	1042866	1.00000	1570958	0.99954	0.00123	0.00040	0.60102	0.01133
NA21109	948263	1.00000	1657594	0.99954	0.00097	0.00030	0.63610	0.01130
HG00339	948737	1.00000	1661762	0.99956	0.00121	0.00039	0.63657	0.00914
HG04180	963518	1.00000	1684394	0.99951	0.00185	0.00066	0.63612	0.01178
HG03753	937489	1.00000	1682639	0.99948	0.00095	0.00030	0.64220	0.01248
HG01105	946520	1.00000	1699454	0.99959	0.00110	0.00034	0.64228	0.00952
HG03009	918613	1.00000	1658362	0.99952	0.00239	0.00087	0.64353	0.01260
HG03928	913543	1.00000	1653845	0.99938	0.00441	0.00167	0.64417	0.01302
HG03063	978664	1.00000	1566786	0.99954	0.00090	0.00031	0.61552	0.01255
HG00112	932318	1.00000	1621636	0.99952	0.00094	0.00030	0.63495	0.01165
HG01870	1034084	1.00000	1503174	0.99950	0.00092	0.00029	0.59244	0.01343
HG02881	1002860	1.00000	1498877	0.99958	0.00119	0.00040	0.59913	0.01246
NA18978	1049632	1.00000	1538495	0.99947	0.00129	0.00045	0.59444	0.01272
HG01528	923601	1.00000	1602989	0.99944	0.00089	0.00028	0.63445	0.01306
NA18553	1040597	1.00000	1581693	0.99952	0.00093	0.00030	0.60317	0.01141
HG03812	918393	1.00000	1679515	0.99943	0.00321	0.00118	0.64649	0.01295
HG03313	988399	1.00000	1565055	0.99952	0.00140	0.00049	0.61292	0.01272
HG03611	959528	1.00000	1726341	0.99972	0.00215	0.00070	0.64275	0.00732
HG01363	907304	1.00000	1688035	0.99952	0.00089	0.00027	0.65041	0.01278
HG02283	923113	1.00000	1693830	0.99953	0.00086	0.00028	0.64726	0.01235
NA20511	911153	1.00000	1611046	0.99953	0.00135	0.00041	0.63875	0.01252
HG03488	921017	1.00000	1704490	0.99952	0.00134	0.00044	0.64920	0.01217
HG01031	1041647	1.00000	1563393	0.99952	0.00111	0.00035	0.60014	0.01246
NA20529	910687	1.00000	1605718	0.99959	0.00134	0.00041	0.63810	0.01278
NA20819	926891	1.00000	1605777	0.99953	0.00079	0.00025	0.63403	0.01264
HG01108	900937	1.00000	1714224	0.99959	0.00123	0.00038	0.65549	0.01106
NA18641	1051126	1.00000	1543539	0.99933	0.00446	0.00175	0.59489	0.01246
NA19003	1026123	1.00000	1485771	0.99948	0.00084	0.00027	0.59149	0.01318
HG03132	979222	1.00000	1558381	0.99952	0.00115	0.00041	0.61412	0.01290
NA18566	1025152	1.00000	1528505	0.99947	0.00120	0.00039	0.59856	0.01340
HG01378	950282	1.00000	1688872	0.99956	0.00122	0.00038	0.63993	0.00956
HG03851	943918	1.00000	1682777	0.99952	0.00099	0.00031	0.64064	0.01241
NA20752	907667	1.00000	1644695	0.99957	0.00088	0.00027	0.64438	0.01225
HG00360	931269	1.00000	1634222	0.99957	0.00091	0.00028	0.63700	0.01179
HG01354	938553	1.00000	1666630	0.99953	0.00113	0.00035	0.63974	0.01166
HG00533	1052148	1.00000	1540157	0.99945	0.00085	0.00027	0.59413	0.01302
HG01593	953241	1.00000	1609340	0.99957	0.00087	0.00027	0.62802	0.01129
HG04206	964937	1.00000	1670656	0.99955	0.00117	0.00036	0.63388	0.01031
HG02322	906592	1.00000	1596720	0.99952	0.00088	0.00029	0.63784	0.01748
HG03690	1015541	1.00000	1512994	0.99940	0.00202	0.00076	0.59837	0.01335
HG01810	1030356	1.00000	1492594	0.99942	0.00105	0.00033	0.59161	0.01402
NA19316	982573	1.00000	1618713	0.99952	0.00167	0.00062	0.62227	0.01144
HG04094	936676	1.00000	1628787	0.99936	0.00338	0.00125	0.63489	0.01342
HG03163	1001112	1.00000	1535458	0.99952	0.00077	0.00026	0.60533	0.01202
NA18508	1004164	1.00000	1625374	0.99959	0.00117	0.00041	0.61812	0.00880
HG00445	1049511	1.00000	1571351	0.99953	0.00109	0.00035	0.59956	0.01071
HG02442	965483	1.00000	1562860	0.99950	0.00088	0.00029	0.61814	0.01298
HG02355	1020348	1.00000	1511656	0.99950	0.00099	0.00032	0.59702	0.01339
HG04225	953687	1.00000	1710973	0.99948	0.00306	0.00112	0.64210	0.01022
NA18546	1018615	1.00000	1556977	0.99950	0.00092	0.00029	0.60451	0.01267
HG03717	971428	1.00000	1661627	0.99940	0.00469	0.00180	0.63106	0.01136
NA18628	1031479	1.00000	1538579	0.99946	0.00086	0.00027	0.59866	0.01339
NA18858	988423	1.00000	1598417	0.99952	0.00078	0.00026	0.61790	0.01193
HG00611	1057975	1.00000	1546825	0.99952	0.00100	0.00031	0.59384	0.01195
HG02395	1032228	1.00000	1550945	0.99958	0.00103	0.00034	0.60040	0.01192
NA18531	1025483	1.00000	1498378	0.99947	0.00077	0.00025	0.59368	0.01350
HG03653	917176	1.00000	1650926	0.99953	0.00098	0.00030	0.64286	0.01294
NA20521	924439	1.00000	1661132	0.99957	0.00114	0.00037	0.64246	0.01116
HG02461	979922	1.00000	1590295	0.99946	0.00366	0.00148	0.61874	0.01122
HG03391	980860	1.00000	1578388	0.99949	0.00180	0.00068	0.61674	0.01269
HG04001	965693	1.00000	1687852	0.99956	0.00113	0.00035	0.63607	0.00953
HG02851	934592	1.00000	1559086	0.99946	0.00085	0.00029	0.62522	0.01435
HG01468	987373	1.00000	1542696	0.99950	0.00114	0.00035	0.60974	0.01285
HG03240	972334	1.00000	1556436	0.99942	0.00255	0.00097	0.61549	0.01314
NA19901	950519	1.00000	1639154	0.99954	0.00084	0.00027	0.63296	0.01185
HG03432	993524	1.00000	1591391	0.99951	0.00095	0.00032	0.61565	0.01147
HG03419	987661	1.00000	1571499	0.99954	0.00165	0.00058	0.61407	0.01252
NA19197	983204	1.00000	1570835	0.99950	0.00072	0.00024	0.61504	0.01324
HG03907	972730	1.00000	1647918	0.99953	0.00173	0.00060	0.62882	0.01156
NA19776	913019	1.00000	1701193	0.99950	0.00076	0.00024	0.65075	0.01321
HG00699	1051910	1.00000	1564573	0.99947	0.00083	0.00027	0.59797	0.01228
HG02029	1026592	1.00000	1556822	0.99951	0.00137	0.00048	0.60262	0.01252
HG02090	927703	1.00000	1665651	0.99953	0.00092	0.00030	0.64228	0.01382
NA20851	927231	1.00000	1653155	0.99953	0.00084	0.00026	0.64066	0.01210
HG03484	949911	1.00000	1530067	0.99947	0.00096	0.00031	0.61697	0.01349
NA18603	1052002	1.00000	1566734	0.99945	0.00093	0.00030	0.59828	0.01242
NA19065	1037442	1.00000	1526768	0.99949	0.00092	0.00030	0.59541	0.01334
NA19395	969481	1.00000	1629466	0.99955	0.00083	0.00027	0.62697	0.01144
HG00123	911632	1.00000	1635745	0.99955	0.00085	0.00026	0.64213	0.01236
HG01589	968382	1.00000	1590943	0.99949	0.00100	0.00032	0.62163	0.01184
NA21110	978170	1.00000	1698905	0.99957	0.00110	0.00034	0.63461	0.00941
NA19657	917601	1.00000	1595081	0.99956	0.00075	0.00024	0.63481	0.01339
HG01747	930580	1.00000	1637294	0.99955	0.00089	0.00028	0.63761	0.01124
HG03944	964986	1.00000	1614895	0.99948	0.00237	0.00085	0.62596	0.01281
NA12843	889385	1.00000	1601490	0.99955	0.00095	0.00029	0.64294	0.01281
HG03352	967130	1.00000	1534422	0.99947	0.00110	0.00038	0.61339	0.01399
NA19066	1018512	1.00000	1519420	0.99948	0.00090	0.00028	0.59868	0.01375
HG02050	1058567	1.00000	1562910	0.99953	0.00097	0.00030	0.59619	0.01123
HG01281	905981	1.00000	1705473	0.99957	0.00095	0.00029	0.65307	0.01101
HG02238	921861	1.00000	1632981	0.99952	0.00086	0.00028	0.63917	0.01196
HG01608	907887	1.00000	1601063	0.99949	0.00086	0.00027	0.63814	0.01313
HG02020	1020196	1.00000	1521614	0.99944	0.00079	0.00025	0.59863	0.01348
HG00325	920457	1.00000	1566252	0.99947	0.00088	0.00027	0.62985	0.01314
HG00625	1048117	1.00000	1557010	0.99949	0.00093	0.00029	0.59767	0.01215
HG03259	1102993	1.00000	1404416	0.99942	0.00145	0.00056	0.56011	0.01098
NA18627	1028251	1.00000	1506818	0.99949	0.00101	0.00031	0.59439	0.01283
NA19236	989688	1.00000	1576850	0.99949	0.00081	0.00027	0.61439	0.01244
HG02072	1027445	1.00000	1561127	0.99955	0.00089	0.00029	0.60308	0.01226
HG03872	929546	1.00000	1672330	0.99951	0.00101	0.00033	0.64274	0.01240
NA20813	933847	1.00000	1648585	0.99951	0.00093	0.00029	0.63838	0.01181
HG01612	913849	1.00000	1636476	0.99952	0.00109	0.00034	0.64167	0.01234
HG03787	923107	1.00000	1658322	0.99948	0.00184	0.00066	0.64240	0.01264
HG02012	973301	1.00000	1651808	0.99956	0.00095	0.00032	0.62923	0.01005
NA18550	1013268	1.00000	1530127	0.99944	0.00088	0.00028	0.60161	0.01357
HG01497	933456	1.00000	1641454	0.99952	0.00091	0.00028	0.63748	0.01224
HG03478	992038	1.00000	1592449	0.99948	0.00229	0.00088	0.61616	0.01179
HG01700	915942	1.00000	1580883	0.99953	0.00092	0.00028	0.63316	0.01278
HG01060	919931	1.00000	1688774	0.99957	0.00134	0.00045	0.64736	0.01089
HG00100	926405	1.00000	1605996	0.99953	0.00094	0.00029	0.63418	0.01277
HG03730	937011	1.00000	1630461	0.99954	0.00111	0.00038	0.63505	0.01273
HG03084	969772	1.00000	1569118	0.99950	0.00080	0.00027	0.61803	0.01339
NA12058	925545	1.00000	1628181	0.99957	0.00114	0.00035	0.63757	0.01217
HG00233	942826	1.00000	1678677	0.99957	0.00111	0.00035	0.64035	0.00979
HG03760	948832	1.00000	1678540	0.99951	0.00090	0.00029	0.63887	0.01194
HG00372	927540	1.00000	1608807	0.99958	0.00084	0.00027	0.63430	0.01211
HG01527	919913	1.00000	1649121	0.99950	0.00085	0.00027	0.64192	0.01186
HG03679	940143	1.00000	1651611	0.99954	0.00095	0.00030	0.63726	0.01250
HG03885	941038	1.00000	1629016	0.99955	0.00099	0.00031	0.63385	0.01249
HG04210	950714	1.00000	1693349	0.99952	0.00375	0.00137	0.64043	0.01079
HG00650	1058059	1.00000	1568123	0.99954	0.00088	0.00028	0.59711	0.01071
NA19056	1042034	1.00000	1553858	0.99955	0.00088	0.00027	0.59858	0.01175
NA20346	927284	1.00000	1688064	0.99954	0.00091	0.00028	0.64545	0.01272
HG01956	952170	1.00000	1629425	0.99954	0.00086	0.00029	0.63117	0.01230
HG02314	956480	1.00000	1614132	0.99954	0.00083	0.00028	0.62792	0.01242
HG01510	892253	1.00000	1615872	0.99949	0.00097	0.00030	0.64425	0.01344
HG03157	969568	1.00000	1609833	0.99947	0.00099	0.00033	0.62411	0.01241
NA11832	932109	1.00000	1618647	0.99952	0.00105	0.00035	0.63458	0.01190
NA19096	993710	1.00000	1572289	0.99957	0.00086	0.00028	0.61274	0.01224
HG01188	896555	1.00000	1724523	0.99952	0.00085	0.00026	0.65794	0.01210
HG01812	1036885	1.00000	1517982	0.99947	0.00092	0.00029	0.59415	0.01271
HG00264	927489	1.00000	1630221	0.99952	0.00106	0.00034	0.63738	0.01149
NA12272	935578	1.00000	1625820	0.99955	0.00115	0.00038	0.63474	0.01199
HG01164	909834	1.00000	1674236	0.99952	0.00107	0.00032	0.64791	0.01190
HG00125	902094	1.00000	1572593	0.99951	0.00104	0.00032	0.63547	0.01324
HG03736	901475	1.00000	1623309	0.99953	0.00095	0.00029	0.64295	0.01375
NA20900	912356	1.00000	1662988	0.99951	0.00085	0.00027	0.64573	0.01322
NA18881	1017522	1.00000	1607849	0.99960	0.00110	0.00036	0.61243	0.00887
HG03127	942176	1.00000	1520037	0.99943	0.00291	0.00113	0.61735	0.01373
HG00119	945308	1.00000	1625783	0.99955	0.00128	0.00042	0.63233	0.01110
HG02734	1014146	1.00000	1442490	0.99945	0.00088	0.00029	0.58718	0.01407
HG01086	905897	1.00000	1683632	0.99954	0.00085	0.00026	0.65017	0.01284
HG03016	946526	1.00000	1673717	0.99955	0.00099	0.00031	0.63876	0.01164
HG03117	993103	1.00000	1617137	0.99955	0.00151	0.00055	0.61954	0.01052
HG04059	942688	1.00000	1667669	0.99941	0.00428	0.00160	0.63887	0.01284
NA18613	1042411	1.00000	1531159	0.99952	0.00092	0.00029	0.59496	0.01236
HG03868	954637	1.00000	1670954	0.99951	0.00230	0.00084	0.63641	0.01175
NA19257	991979	1.00000	1603148	0.99955	0.00114	0.00039	0.61775	0.01219
NA18562	1045397	1.00000	1584937	0.99952	0.00095	0.00030	0.60256	0.01145
NA20294	934010	1.00000	1666529	0.99955	0.00093	0.00030	0.64084	0.01189
HG01190	897776	1.00000	1731838	0.99958	0.00092	0.00028	0.65859	0.01106
HG01806	1035372	1.00000	1514895	0.99952	0.00087	0.00028	0.59401	0.01272
HG02493	923130	1.00000	1676424	0.99956	0.00085	0.00027	0.64489	0.01184
NA21089	939421	1.00000	1619939	0.99948	0.00094	0.00029	0.63295	0.01335
NA19982	936536	1.00000	1637922	0.99952	0.00097	0.00031	0.63622	0.01241
HG01083	915601	1.00000	1739777	0.99958	0.00102	0.00032	0.65519	0.01009
NA18561	1011985	1.00000	1540109	0.99952	0.00133	0.00044	0.60347	0.01291
NA20889	940875	1.00000	1680054	0.99952	0.00087	0.00027	0.64101	0.01150
HG00590	1032825	1.00000	1546657	0.99948	0.00081	0.00025	0.59960	0.01260
NA18541	1049004	1.00000	1555384	0.99949	0.00120	0.00039	0.59722	0.01157
HG01058	901455	1.00000	1722105	0.99959	0.00087	0.00027	0.65640	0.01111
HG02061	1047956	1.00000	1560723	0.99939	0.00101	0.00033	0.59828	0.01204
NA19448	984521	1.00000	1590247	0.99955	0.00082	0.00027	0.61763	0.01242
HG01161	903048	1.00000	1710915	0.99954	0.00087	0.00027	0.65453	0.01226
HG01571	988915	1.00000	1595356	0.99951	0.00095	0.00030	0.61733	0.01134
HG02724	946532	1.00000	1666301	0.99938	0.00336	0.00122	0.63774	0.01219
HG00269	914744	1.00000	1581570	0.99953	0.00113	0.00035	0.63356	0.01246
NA20588	930783	1.00000	1630385	0.99957	0.00118	0.00039	0.63658	0.01116
HG00107	918190	1.00000	1618561	0.99955	0.00088	0.00028	0.63804	0.01180
HG01149	953053	1.00000	1740762	0.99963	0.00130	0.00042	0.64621	0.00858
HG01070	909757	1.00000	1655960	0.99960	0.00089	0.00027	0.64542	0.01199
HG01257	927896	1.00000	1662735	0.99957	0.00083	0.00026	0.64183	0.01133
HG02390	1001988	1.00000	1474164	0.99941	0.00166	0.00059	0.59534	0.01421
HG01097	898505	1.00000	1675919	0.99958	0.00089	0.00028	0.65099	0.01201
HG03895	991587	1.00000	1554539	0.99934	0.00304	0.00116	0.61055	0.01451
HG01241	901972	1.00000	1741787	0.99958	0.00121	0.00038	0.65883	0.01142
HG01961	1091192	1.00000	1340549	0.99919	0.00276	0.00111	0.55127	0.01421
NA20527	907052	1.00000	1636594	0.99955	0.00129	0.00039	0.64340	0.01267
HG01708	898108	1.00000	1656875	0.99951	0.00092	0.00029	0.64849	0.01263
HG02402	1020038	1.00000	1496068	0.99950	0.00091	0.00029	0.59460	0.01387
HG02179	1031232	1.00000	1546481	0.99952	0.00078	0.00025	0.59994	0.01261
HG01495	883297	1.00000	1692266	0.99953	0.00090	0.00028	0.65705	0.01256
NA20822	917353	1.00000	1654279	0.99956	0.00098	0.00030	0.64328	0.01196
HG00637	891432	1.00000	1723651	0.99949	0.00099	0.00030	0.65912	0.01209
NA18642	1034497	1.00000	1573525	0.99949	0.00127	0.00039	0.60334	0.01149
HG00375	944808	1.00000	1643290	0.99953	0.00148	0.00048	0.63494	0.01144
NA21128	952259	1.00000	1704417	0.99952	0.00104	0.00032	0.64156	0.00969
HG03577	967751	1.00000	1556380	0.99950	0.00185	0.00068	0.61660	0.01325
HG03631	926811	1.00000	1659264	0.99954	0.00134	0.00041	0.64161	0.01203
HG03971	944462	1.00000	1661417	0.99946	0.00157	0.00053	0.63756	0.01356
NA18530	1045034	1.00000	1564369	0.99950	0.00101	0.00034	0.59951	0.01186
HG01697	909341	1.00000	1624129	0.99950	0.00096	0.00029	0.64107	0.01350
HG03058	987626	1.00000	1572433	0.99953	0.00096	0.00032	0.61422	0.01212
HG03808	933149	1.00000	1670140	0.99947	0.00116	0.00038	0.64155	0.01279
NA18989	1071223	1.00000	1565918	0.99952	0.00106	0.00035	0.59379	0.01002
HG00329	931948	1.00000	1653129	0.99951	0.00101	0.00031	0.63949	0.01127
HG03833	941236	1.00000	1707266	0.99949	0.00250	0.00090	0.64462	0.01250
HG04194	928310	1.00000	1688264	0.99953	0.00209	0.00072	0.64522	0.01252
NA20362	926112	1.00000	1721792	0.99955	0.00092	0.00030	0.65025	0.01127
HG02545	914608	1.00000	1574765	0.99948	0.00093	0.00031	0.63260	0.01456
HG00160	931783	1.00000	1612570	0.99952	0.00091	0.00029	0.63378	0.01221
NA19222	992502	1.00000	1571657	0.99947	0.00085	0.00029	0.61293	0.01216
NA18991	1027210	1.00000	1530012	0.99950	0.00087	0.00028	0.59831	0.01278
NA20769	910807	1.00000	1659500	0.99958	0.00087	0.00027	0.64564	0.01146
NA20317	889715	1.00000	1699165	0.99955	0.00091	0.00028	0.65633	0.01305
NA12829	939078	1.00000	1671334	0.99963	0.00105	0.00033	0.64026	0.00832
HG02323	951701	1.00000	1616416	0.99947	0.00179	0.00067	0.62942	0.01302
NA19834	924191	1.00000	1756678	0.99959	0.00106	0.00034	0.65526	0.00928
HG00254	927748	1.00000	1648165	0.99955	0.00093	0.00029	0.63984	0.01133
HG00280	941768	1.00000	1649083	0.99956	0.00089	0.00027	0.63650	0.01134
HG02137	1052172	1.00000	1526651	0.99947	0.00087	0.00028	0.59200	0.01270
HG00867	1038200	1.00000	1547404	0.99949	0.00096	0.00031	0.59847	0.01212
HG01686	908062	1.00000	1604906	0.99949	0.00096	0.00030	0.63865	0.01349
NA11843	900469	1.00000	1593392	0.99951	0.00106	0.00032	0.63893	0.01301
NA19711	937924	1.00000	1647047	0.99945	0.00086	0.00028	0.63716	0.01315
HG00452	1032983	1.00000	1535942	0.99952	0.00088	0.00028	0.59789	0.01259
NA18993	1046254	1.00000	1541773	0.99947	0.00084	0.00027	0.59573	0.01267
HG00632	1022392	1.00000	1492600	0.99951	0.00083	0.00026	0.59348	0.01336
HG03640	940483	1.00000	1632283	0.99955	0.00165	0.00051	0.63445	0.01172
HG04159	945460	1.00000	1716596	0.99953	0.00249	0.00089	0.64484	0.01133
NA19159	986593	1.00000	1600614	0.99951	0.00083	0.00028	0.61866	0.01159
NA19204	986067	1.00000	1570388	0.99949	0.00085	0.00028	0.61428	0.01241
HG01617	917692	1.00000	1609971	0.99954	0.00087	0.00027	0.63694	0.01333
HG03832	912069	1.00000	1654495	0.99939	0.00362	0.00135	0.64463	0.01384
HG03949	963926	1.00000	1629271	0.99951	0.00241	0.00088	0.62829	0.01165
NA18507	976940	1.00000	1571895	0.99949	0.00081	0.00027	0.61671	0.01249
NA18504	963326	1.00000	1544549	0.99952	0.00086	0.00028	0.61588	0.01323
HG02054	916490	1.00000	1601847	0.99951	0.00104	0.00037	0.63607	0.01377
NA12828	917929	1.00000	1621834	0.99952	0.00094	0.00029	0.63858	0.01284
HG01620	905439	1.00000	1598080	0.99951	0.00090	0.00028	0.63833	0.01355
NA19238	1002449	1.00000	1613944	0.99952	0.00108	0.00035	0.61686	0.01063
HG01082	885102	1.00000	1741419	0.99955	0.00090	0.00028	0.66301	0.01191
HG01131	929141	1.00000	1685167	0.99954	0.00093	0.00029	0.64459	0.01188
HG02628	973246	1.00000	1572062	0.99946	0.00124	0.00044	0.61763	0.01360
HG00608	1074180	1.00000	1573217	0.99955	0.00112	0.00036	0.59425	0.00940
HG01770	911517	1.00000	1601470	0.99953	0.00097	0.00030	0.63728	0.01180
NA19000	1057929	1.00000	1559569	0.99945	0.00110	0.00037	0.59582	0.01178
HG03693	958197	1.00000	1686754	0.99955	0.00108	0.00034	0.63773	0.01143
NA20127	968277	1.00000	1671347	0.99957	0.00092	0.00030	0.63318	0.00953
NA18522	965009	1.00000	1546437	0.99956	0.00088	0.00029	0.61576	0.01340
HG01990	937897	1.00000	1601945	0.99953	0.00078	0.00025	0.63073	0.01336
HG01464	905833	1.00000	1746817	0.99956	0.00090	0.00028	0.65852	0.01202
HG00409	1013402	1.00000	1480942	0.99950	0.00100	0.00031	0.59372	0.01341
HG03692	957241	1.00000	1628064	0.99955	0.00086	0.00027	0.62974	0.01276
NA06994	905640	1.00000	1589978	0.99955	0.00105	0.00032	0.63711	0.01306
NA12874	969901	1.00000	1580375	0.99945	0.00163	0.00063	0.61969	0.01103
NA18950	1038264	1.00000	1538200	0.99948	0.00082	0.00026	0.59702	0.01279
HG03777	939098	1.00000	1665357	0.99955	0.00087	0.00027	0.63943	0.01224
HG02477	936288	1.00000	1661187	0.99948	0.00155	0.00057	0.63954	0.01297
HG03782	910683	1.00000	1632038	0.99949	0.00149	0.00050	0.64185	0.01417
HG00557	1052467	1.00000	1535930	0.99947	0.00089	0.00028	0.59339	0.01197
HG00265	944918	1.00000	1631651	0.99953	0.00103	0.00033	0.63327	0.01085
HG01756	920956	1.00000	1643060	0.99956	0.00095	0.00029	0.64082	0.01129
NA11931	922840	1.00000	1646293	0.99953	0.00086	0.00027	0.64080	0.01179
NA18999	1049694	1.00000	1572442	0.99950	0.00095	0.00029	0.59968	0.01213
NA19137	972726	1.00000	1546694	0.99954	0.00091	0.00030	0.61391	0.01351
NA19214	1010443	1.00000	1612707	0.99953	0.00095	0.00032	0.61480	0.00988
HG03778	952594	1.00000	1701959	0.99953	0.00130	0.00043	0.64115	0.00972
NA20763	924855	1.00000	1675853	0.99954	0.00106	0.00034	0.64438	0.01010
HG04177	956022	1.00000	1667621	0.99953	0.00226	0.00080	0.63561	0.01121
NA19201	968916	1.00000	1535725	0.99947	0.00112	0.00037	0.61315	0.01436
NA20587	941336	1.00000	1641882	0.99952	0.00089	0.00028	0.63560	0.01140
HG01871	1035166	1.00000	1548187	0.99950	0.00096	0.00030	0.59929	0.01213
HG01204	893233	1.00000	1684637	0.99955	0.00083	0.00025	0.65350	0.01274
HG01444	910703	1.00000	1691230	0.99947	0.00234	0.00084	0.64999	0.01251
HG03814	925497	1.00000	1608563	0.99948	0.00094	0.00029	0.63478	0.01348
HG02138	1039969	1.00000	1553204	0.99951	0.00086	0.00028	0.59896	0.01305
HG02337	951726	1.00000	1646778	0.99949	0.00244	0.00094	0.63374	0.01206
HG03572	968408	1.00000	1560931	0.99939	0.00245	0.00094	0.61713	0.01410
HG03681	933448	1.00000	1615687	0.99952	0.00098	0.00032	0.63382	0.01280
NA19789	912410	1.00000	1670210	0.99954	0.00081	0.00025	0.64671	0.01362
HG02048	1025771	1.00000	1551417	0.99952	0.00079	0.00025	0.60198	0.01276
HG02186	1035126	1.00000	1533550	0.99950	0.00080	0.00026	0.59702	0.01194
HG03209	983842	1.00000	1570691	0.99948	0.00134	0.00048	0.61486	0.01297
HG01572	1064432	1.00000	1376088	0.99945	0.00091	0.00029	0.56385	0.01380
NA19920	946341	1.00000	1647300	0.99957	0.00087	0.00028	0.63513	0.01142
HG00553	893060	1.00000	1754288	0.99957	0.00083	0.00026	0.66266	0.01088
HG01055	894691	1.00000	1723823	0.99953	0.00092	0.00028	0.65832	0.01167
HG01849	1034818	1.00000	1569861	0.99954	0.00088	0.00028	0.60271	0.01231
NA19307	972189	1.00000	1624626	0.99953	0.00086	0.00028	0.62562	0.01194
HG02058	1022490	1.00000	1576015	0.99951	0.00082	0.00027	0.60651	0.01255
HG04198	948359	1.00000	1719527	0.99950	0.00567	0.00212	0.64453	0.00906
HG02890	959861	1.00000	1571031	0.99947	0.00212	0.00081	0.62074	0.01325
HG01431	909373	1.00000	1702121	0.99955	0.00087	0.00027	0.65178	0.01187
HG02064	1014498	1.00000	1526552	0.99943	0.00170	0.00060	0.60076	0.01410
HG00178	922108	1.00000	1628937	0.99952	0.00080	0.00025	0.63854	0.01264
NA21133	960233	1.00000	1706425	0.99953	0.00107	0.00034	0.63991	0.01004
HG01302	887855	1.00000	1736343	0.99956	0.00105	0.00032	0.66167	0.01208
HG02603	938982	1.00000	1656455	0.99949	0.00172	0.00062	0.63822	0.01238
HG01080	913794	1.00000	1722639	0.99952	0.00090	0.00028	0.65340	0.01145
NA20585	955985	1.00000	1528125	0.99953	0.00128	0.00040	0.61516	0.01173
HG00759	1033242	1.00000	1515080	0.99954	0.00089	0.00028	0.59454	0.01222
NA19213	966613	1.00000	1545917	0.99950	0.00071	0.00024	0.61528	0.01365
HG03913	936374	1.00000	1678870	0.99958	0.00116	0.00038	0.64196	0.01144
HG01098	895713	1.00000	1707083	0.99953	0.00114	0.00035	0.65587	0.01194
HG02429	961274	1.00000	1625895	0.99945	0.00160	0.00060	0.62845	0.01230
HG03598	890855	1.00000	1620024	0.99955	0.00212	0.00066	0.64520	0.01314
HG00323	915307	1.00000	1587194	0.99957	0.00109	0.00034	0.63424	0.01288
HG02610	970115	1.00000	1566696	0.99951	0.00084	0.00028	0.61758	0.01328
HG03731	933332	1.00000	1640684	0.99949	0.00099	0.00031	0.63740	0.01352
HG02184	1043956	1.00000	1543325	0.99947	0.00077	0.00025	0.59650	0.01203
HG00252	941804	1.00000	1606545	0.99954	0.00092	0.00029	0.63043	0.01184
HG02185	1050743	1.00000	1514826	0.99946	0.00152	0.00053	0.59044	0.01200
HG02757	1004140	1.00000	1609241	0.99956	0.00251	0.00096	0.61577	0.00947
NA19700	923737	1.00000	1683672	0.99956	0.00097	0.00032	0.64573	0.01278
HG03567	977177	1.00000	1569434	0.99955	0.00090	0.00031	0.61628	0.01241
HG00479	1009973	1.00000	1502289	0.99944	0.00110	0.00034	0.59798	0.01382
HG02774	904634	1.00000	1652386	0.99950	0.00155	0.00052	0.64622	0.01271
HG00250	904929	1.00000	1597460	0.99950	0.00090	0.00028	0.63837	0.01295
HG01986	917251	1.00000	1607318	0.99954	0.00099	0.00034	0.63667	0.01319
NA19741	1017111	1.00000	1481231	0.99953	0.00081	0.00026	0.59289	0.01295
HG02439	962619	1.00000	1624520	0.99951	0.00220	0.00086	0.62792	0.01189
NA19146	980663	1.00000	1565653	0.99941	0.00356	0.00144	0.61487	0.01243
NA06984	922375	1.00000	1629265	0.99952	0.00097	0.00031	0.63852	0.01252
HG02223	903747	1.00000	1650383	0.99953	0.00087	0.00028	0.64616	0.01228
HG03823	928746	1.00000	1662157	0.99951	0.00170	0.00058	0.64154	0.01281
NA18591	1067241	1.00000	1566689	0.99950	0.00092	0.00029	0.59481	0.01011
NA19773	892189	1.00000	1692842	0.99954	0.00091	0.00027	0.65486	0.01331
HG00129	901793	1.00000	1576157	0.99953	0.00091	0.00028	0.63607	0.01306
HG00614	1029956	1.00000	1539236	0.99951	0.00115	0.00039	0.59911	0.01263
HG01177	928969	1.00000	1694223	0.99954	0.00101	0.00031	0.64586	0.01125
HG02345	927565	1.00000	1713823	0.99957	0.00132	0.00042	0.64883	0.01147
HG03644	920212	1.00000	1644995	0.99953	0.00139	0.00043	0.64127	0.01269
