#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
NA19704	930500	1.00000	1661247	0.99959	0.00083	0.00027	0.64098	0.01306
HG01465	923930	1.00000	1621532	0.99954	0.00086	0.00027	0.63703	0.01279
HG00320	966224	1.00000	1624157	0.99955	0.00121	0.00039	0.62700	0.01048
NA18647	1037320	1.00000	1568870	0.99948	0.00091	0.00029	0.60198	0.01263
NA20753	915606	1.00000	1645233	0.99948	0.00129	0.00039	0.64246	0.01302
HG03060	985958	1.00000	1574052	0.99953	0.00114	0.00040	0.61486	0.01204
HG03616	936563	1.00000	1687692	0.99954	0.00113	0.00037	0.64311	0.01200
HG00653	1067816	1.00000	1583515	0.99961	0.00091	0.00030	0.59725	0.00936
NA20318	891193	1.00000	1757433	0.99950	0.00099	0.00031	0.66353	0.01174
HG00146	942677	1.00000	1673602	0.99957	0.00093	0.00030	0.63969	0.00955
HG00881	1047890	1.00000	1559634	0.99950	0.00097	0.00031	0.59813	0.01209
HG03121	999456	1.00000	1558246	0.99951	0.00088	0.00030	0.60924	0.01248
NA19025	988587	1.00000	1594192	0.99957	0.00078	0.00026	0.61724	0.01163
NA20785	919669	1.00000	1687857	0.99956	0.00091	0.00028	0.64730	0.00996
NA19454	978718	1.00000	1606942	0.99950	0.00080	0.00026	0.62148	0.01271
NA20906	961364	1.00000	1714793	0.99952	0.00089	0.00028	0.64077	0.01020
NA19385	959714	1.00000	1598401	0.99957	0.00080	0.00026	0.62484	0.01230
HG00607	1064814	1.00000	1554641	0.99952	0.00086	0.00028	0.59350	0.01137
HG00128	954923	1.00000	1654344	0.99957	0.00104	0.00033	0.63403	0.00985
HG00403	1022020	1.00000	1547418	0.99946	0.00084	0.00026	0.60224	0.01368
NA19002	1050361	1.00000	1560289	0.99955	0.00091	0.00029	0.59766	0.01094
NA12762	943938	1.00000	1641492	0.99950	0.00106	0.00034	0.63490	0.01101
HG02922	958554	1.00000	1562111	0.99952	0.00087	0.00029	0.61972	0.01348
NA18982	1017870	1.00000	1517778	0.99953	0.00101	0.00032	0.59858	0.01241
HG02016	980216	1.00000	1544596	0.99947	0.00084	0.00027	0.61177	0.01465
HG03773	997924	1.00000	1629268	0.99958	0.00211	0.00078	0.62016	0.00959
HG02502	912658	1.00000	1636674	0.99951	0.00145	0.00053	0.64200	0.01317
HG00376	943091	1.00000	1634040	0.99961	0.00090	0.00028	0.63405	0.01104
HG01843	1034431	1.00000	1544298	0.99949	0.00096	0.00030	0.59886	0.01324
NA19347	973358	1.00000	1607223	0.99952	0.00085	0.00028	0.62281	0.01233
HG02285	1033623	1.00000	1503549	0.99950	0.00081	0.00026	0.59261	0.01287
HG02557	955580	1.00000	1604769	0.99948	0.00122	0.00043	0.62678	0.01324
HG04200	940836	1.00000	1683048	0.99949	0.00311	0.00112	0.64143	0.01135
HG03706	942895	1.00000	1658410	0.99953	0.00136	0.00043	0.63753	0.01206
NA19462	981938	1.00000	1606316	0.99910	0.00089	0.00030	0.62062	0.01695
NA19771	926450	1.00000	1620531	0.99953	0.00084	0.00026	0.63626	0.01343
HG01605	903393	1.00000	1613477	0.99948	0.00092	0.00029	0.64106	0.01289
NA19007	1013744	1.00000	1522104	0.99953	0.00088	0.00028	0.60023	0.01339
HG01845	1033669	1.00000	1536941	0.99957	0.00096	0.00030	0.59789	0.01197
HG02700	911656	1.00000	1658000	0.99953	0.00123	0.00040	0.64522	0.01229
HG01503	915757	1.00000	1618628	0.99954	0.00089	0.00028	0.63867	0.01195
NA20530	926769	1.00000	1650285	0.99950	0.00161	0.00055	0.64038	0.01215
NA20818	920301	1.00000	1656258	0.99954	0.00095	0.00030	0.64282	0.01174
NA19141	948816	1.00000	1501632	0.99949	0.00100	0.00032	0.61280	0.01428
